ACDT ,+1030,"Yancowinna, Adelaide, Broken_Hill, South",+09:30,Adelaide,,,
ACST ,+0930,"Darwin, North,",+09:30,Darwin,,,
ADT ,-03,"Anguilla, Antigua, Aruba, Barbados, Blanc-Sablon, Curacao, Dominica, Glace_Bay, Goose_Bay, Grenada, Guadeloupe, Halifax, Kralendijk, Lower_Princes, Marigo, Martinique, Montserrat, Port_of_Spain, Puerto_Rico, Santo_Domingo, St_Barthelemy, St_Kitts, St_Lucia, St_Thomas, St_Vincent, Tortola, Virgin, Moncton, Thule, Atlantic",-04:00,Atlantic Time,,,
AST ,-04,"Anguilla, Antigua, Aruba, Barbados, Blanc-Sablon, Curacao, Dominica, Glace_Bay, Goose_Bay, Grenada, Guadeloupe, Halifax, Kralendijk, Lower_Princes, Marigo, Martinique, Montserrat, Port_of_Spain, Puerto_Rico, Santo_Domingo, St_Barthelemy, St_Kitts, St_Lucia, St_Thomas, St_Vincent, Tortola, Virgin, Moncton, Thule, Atlantic",-04:00,Atlantic Time,,,
AEDT,+11, "Canberra, Melbourne, Sydney, ACT, Hobart, NSW, Victoria, Currie, Tasmania",+10:00,"Canberra, Melbourne, Sydney",,,
AEST,+10,"Brisbane, Lindeman, Queensland",+10:00,Brisbane,,,
AEST,+10,"Canberra, Melbourne, Sydney, ACT, Hobart, NSW, Victoria, Currie, Tasmania",+10:00,"Canberra, Melbourne, Sydney, Brisbane",,,
AKDT ,-08,"Juneau, Metlakatla, Nome, Sitka, Yakutat, Alaska",-09:00,Alaska,,,
AKST ,-09,"Juneau, Metlakatla, Nome, Sitka, Yakutat, Alaska",-09:00,Alaska,,,
AMT ,-04,"Campo_Grande, Cuiaba, Manaus, Porto_Velho",-04:00,"Atlantic Time, Santiago",,,
AMT ,-04,Yerevan,+04:00,"Abu dhabi, Muscat, Baku, Tbilisai, Yerevan",,,
