CustomerID,EEAR,,,,
BaseOfVersionTree,version000000,,,,
FilteredPrefix,X_ASB,X_CT,,,
,,,,,
#FilteredPrefix,X_ASB_COM, X_CT-COM,,,      (you can set at most 5 filtered values)
# Internal para name, Action, External para name, Need Conversion, Conversion function name, External RW attr
,,,,,
# if parent is the same, action R shall be used, as below,,,
# InternetGatewayDevice.X_CT-COM_UserInfo.,R,InternetGatewayDevice.X_CU_UserInfo.,,,
,,,,,
# if parent is different, action M shall be used, as below,,,
# InternetGatewayDevice.X_CT-COM_UplinkQoS.,M,InternetGatewayDevice.X_CU_Function.UplinkQoS.,,,
,,,,,
# Permanent rules,,,,,
# please keep this part rules unchanged since they are for following legacy policy  displaying private parameters with private prefix on ITMS.,,,,,
# following are paramters displayed on ITMS with private prefix in 5301. ,,,,,
# X_ASB_COM_DmzIpHostCfg,,,,,
# X_ASB_COM_DmzPppHostCfg,,,,,
# X_ASB_COM_EthPort,,,,,
# X_ASB_COM_ExternalPortEnd,,,,,
# X_ASB_COM_InternalPortEnd,,,,,
# X_CT-COM_WANGponLinkConfig,,,,,
# X_ASB_COM_AppName,,,,,
# X_ALU_OntOpticalParam (not CT/ASB prefix  ignore),,,,,
# X_CT-COM_ServiceList (follow legacy convert rule),,,,,
# X_ASB_COM_IGMPCfg (follow legacy convert rule),,,,,
# X_CT-COM_ChannelWidth (follow legacy convert rule),,,,,
# VOICE (follow legacy convert rules),,,,,
# Please retain X_ALU-COM_KeepAliveTime for any new OPID DAL conversion files created in future,,,,,
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.X_ASB_COM_KeepAliveTime,M,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.X_ALU-COM_KeepAliveTime,,,RW
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_ASB_COM_DmzIpHostCfg.,R,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_ASB_COM_DmzIpHostCfg.,,,RW
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_ASB_COM_DmzIpHostCfg.DmzHostDescription,M,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_ASB_COM_DmzIpHostCfg.DmzHostDescription,,,RW
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_ASB_COM_DmzIpHostCfg.InternalClient,M,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_ASB_COM_DmzIpHostCfg.InternalClient,,,RW
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_ASB_COM_DmzIpHostCfg.DmzEnabled,M,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.X_ASB_COM_DmzIpHostCfg.DmzEnabled,,,RW
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.X_ASB_COM_DmzPppHostCfg.,R,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.X_ASB_COM_DmzPppHostCfg.,,,RW
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.X_ASB_COM_DmzPppHostCfg.DmzHostDescription,M,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.X_ASB_COM_DmzPppHostCfg.DmzHostDescription,,,RW
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.X_ASB_COM_DmzPppHostCfg.InternalClient,M,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.X_ASB_COM_DmzPppHostCfg.InternalClient,,,RW
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.X_ASB_COM_PppoeSessionid,R,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.PPPoESessionID,,,R
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.X_ASB_COM_DmzPppHostCfg.DmzEnabled,M,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.X_ASB_COM_DmzPppHostCfg.DmzEnabled,,,RW
InternetGatewayDevice.X_ASB_COM_EthPort.,R,InternetGatewayDevice.X_ASB_COM_EthPort.,,,RW
InternetGatewayDevice.X_ASB_COM_EthPort.EthPortNum,M,InternetGatewayDevice.X_ASB_COM_EthPort.EthPortNum,,,RW
InternetGatewayDevice.X_ASB_COM_EthPort.EthPort.{i}.isTr069Domain,M,InternetGatewayDevice.X_ASB_COM_EthPort.EthPort.{i}.isTr069Domain,,,RW
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.PortMapping.{i}.X_ASB_COM_ExternalPortEnd,R,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANPPPConnection.{i}.PortMapping.{i}.ExternalPortEndRange,,,RW
InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.{i}.X_ASB_COM_ExternalPortEnd,R,InternetGatewayDevice.WANDevice.{i}.WANConnectionDevice.{i}.WANIPConnection.{i}.PortMapping.{i}.ExternalPortEndRange,,,RW
